epoch,step,train_loss
0,49,-0.5468193292617798
1,99,-1.0260608196258545
2,149,-1.167041301727295
3,199,-1.204293966293335
4,249,-1.2797274589538574
5,299,-1.279603123664856
6,349,-1.2926608324050903
7,399,-1.3347082138061523
8,449,-1.3117865324020386
9,499,-1.373967170715332
10,549,-1.3285126686096191
11,599,-1.3641865253448486
12,649,-1.384549856185913
13,699,-1.4111558198928833
14,749,-1.3523412942886353
15,799,-1.3964108228683472
16,849,-1.4095765352249146
17,899,-1.4250849485397339
18,949,-1.396041989326477
19,999,-1.4604322910308838
20,1049,-1.4442901611328125
21,1099,-1.4357179403305054
22,1149,-1.4575315713882446
23,1199,-1.455515742301941
24,1249,-1.4504035711288452
25,1299,-1.4459924697875977
26,1349,-1.4883506298065186
27,1399,-1.4626232385635376
28,1449,-1.4546699523925781
29,1499,-1.463314175605774
30,1549,-1.4584966897964478
31,1599,-1.5384823083877563
32,1649,-1.4910625219345093
33,1699,-1.4921551942825317
34,1749,-1.5172353982925415
35,1799,-1.5206060409545898
36,1849,-1.5319273471832275
37,1899,-1.5019727945327759
38,1949,-1.5441306829452515
39,1999,-1.544684648513794
40,2049,-1.524593472480774
41,2099,-1.5363481044769287
42,2149,-1.5439810752868652
43,2199,-1.595556616783142
44,2249,-1.5492432117462158
45,2299,-1.5891391038894653
46,2349,-1.564522385597229
47,2399,-1.5614579916000366
48,2449,-1.5969421863555908
49,2499,-1.5876781940460205
50,2549,-1.5891757011413574
51,2599,-1.640489935874939
52,2649,-1.6197693347930908
53,2699,-1.5444368124008179
54,2749,-1.6048697233200073
55,2799,-1.601507306098938
56,2849,-1.5936341285705566
57,2899,-1.6268223524093628
58,2949,-1.6347073316574097
59,2999,-1.6391847133636475
60,3049,-1.6161597967147827
61,3099,-1.5906912088394165
62,3149,-1.6375527381896973
63,3199,-1.6431512832641602
64,3249,-1.6538299322128296
65,3299,-1.621909499168396
66,3349,-1.5791534185409546
67,3399,-1.6615567207336426
68,3449,-1.6990923881530762
69,3499,-1.6879386901855469
70,3549,-1.6793214082717896
71,3599,-1.695966362953186
72,3649,-1.6830366849899292
73,3699,-1.7018215656280518
74,3749,-1.6470816135406494
75,3799,-1.6965224742889404
76,3849,-1.6597912311553955
77,3899,-1.7071844339370728
78,3949,-1.6746978759765625
79,3999,-1.7019249200820923
80,4049,-1.7146105766296387
81,4099,-1.6399834156036377
82,4149,-1.7419066429138184
83,4199,-1.7288119792938232
84,4249,-1.6927480697631836
85,4299,-1.6889710426330566
86,4349,-1.72638738155365
87,4399,-1.7513819932937622
88,4449,-1.7497622966766357
89,4499,-1.759787917137146
90,4549,-1.6864906549453735
91,4599,-1.7445056438446045
92,4649,-1.7674587965011597
93,4699,-1.6945899724960327
94,4749,-1.7620947360992432
95,4799,-1.7647279500961304
96,4849,-1.7646446228027344
97,4899,-1.7500555515289307
98,4949,-1.7270334959030151
99,4999,-1.8026372194290161
